UPV (m/s),ER (ohm-cm),FS (MPa),TS (MPa),CS (MPa)
4184.6713,12.8935,5.6681,4.5226,49.0555
4391.2157,11.6635,8.0058,3.7513,50.8638
3392.3957,5.2409,1.1851,2.0638,26.6677
4303.434,10.9956,5.5575,3.5308,44.0652
3739.8748,5.1051,3.8895,2.1001,26.0295
3660.4285,5.8905,3.7558,1.9755,23.7222
4225.2735,10.1253,5.871,3.536,44.7713
3656.0358,6.0036,3.733,1.9927,23.7675
3514.784,6.4369,1.0021,1.5428,22.5404
4212.7044,12.2277,5.6645,4.5398,48.7159
3410.958,6.2585,0.9423,1.5408,22.9491
3001.0569,3.5866,0.3531,1.4616,16.8411
3467.7339,6.2832,0.9744,1.5894,23.9034
4306.1147,10.9956,5.5822,3.5046,42.5392
3001.4988,3.6687,0.3401,1.4637,17.2533
3001.9783,3.5644,0.3486,1.4696,16.819
4347.2284,11.2275,7.8111,3.7514,52.0068
3229.4288,5.5476,1.1716,2.1175,25.5052
4184.733,12.7219,5.6833,4.522,46.2585
3451.2312,5.8905,1.1336,2.1363,24.9624
3311.0466,5.9472,1.1659,2.0742,24.9593
3474.6483,5.5554,1.178,2.0945,24.8573
4321.8464,14.0723,7.7902,5.208,55.1687
3170.3829,6.5487,0.9698,1.5916,22.3829
3587.3548,4.0505,1.4084,2.2457,27.3956
3162.3671,7.1435,5.2459,2.2562,35.1881
3001.1396,3.6829,0.3525,1.4723,16.6581
4374.4976,14.066,7.7908,5.166,53.4108
4235.3737,9.6146,5.9364,3.5137,47.1552
3533.4665,16.1007,5.3971,2.3458,35.8786
3307.0857,4.3197,1.352,2.3109,30.3192
4184.8696,12.8307,5.6836,4.5177,45.2818
3662.3081,6.2832,3.759,1.9235,22.8693
3677.8373,4.3197,1.3988,2.2406,30.4308
2976.5713,3.5988,0.365,1.5009,16.1797
4228.7409,9.8434,5.8904,3.5099,46.7232
3669.1072,4.3197,1.3362,2.328,29.3771
3168.412,5.8905,1.0012,1.5323,22.2799
3471.0301,5.8905,1.1797,2.1574,24.9624
4389.6073,11.408,8.0297,3.7503,51.7357
2955.0991,3.5944,0.3541,1.4617,16.1506
3388.5402,5.8346,1.1833,2.0571,24.7349
3738.4877,5.1051,3.9748,1.9882,26.1133
4322.2862,13.6702,7.8365,5.1623,55.0565
4242.6317,8.6245,5.3221,2.4557,43.0379
3043.2933,3.5941,0.3537,1.4879,16.4053
3303.7696,6.6249,3.1381,1.2875,20.6457
3042.3911,3.6093,0.3538,1.4879,16.1806
4309.0259,10.9956,5.564,3.5301,45.2372
3452.7579,4.7411,1.3929,2.2741,28.8746
4224.5317,12.0695,5.6637,4.5277,46.5792
3672.7606,4.3769,1.3626,2.2278,27.3392
4329.2242,13.5505,7.8134,4.9149,55.3139
3145.1028,6.2038,5.4246,2.2337,35.6165
3537.4887,16.0679,5.6366,2.3535,35.902
2949.7927,3.6737,0.3616,1.4973,16.8885
4322.2931,13.4908,7.7418,5.0222,55.4027
3467.992,5.8655,0.9994,1.5688,21.8706
3333.8196,5.4978,1.1955,2.0603,24.8759
3659.5569,6.2832,3.7572,1.8997,23.9299
3346.9975,6.1663,3.1381,1.2144,21.2727
3463.7971,6.1686,0.9749,1.5894,24.0411
3217.0949,5.8905,0.9575,1.5528,24.7348
3758.2327,4.7124,3.9724,2.1011,26.0643
3656.5843,6.0448,3.7276,1.9368,23.2406
4184.8064,12.8748,5.6651,4.5221,45.7645
2999.9875,3.6769,0.3653,1.5001,16.1247
4228.6425,9.858,5.9127,3.5176,47.9829
4252.9457,9.0796,5.9677,3.5115,47.2997
4186.2833,12.9591,5.6568,4.5267,49.0593
3209.0825,6.7166,3.1381,1.2584,21.0511
3733.7885,5.9684,4.0189,2.106,26.3258
3000.2179,3.5823,0.3596,1.5008,16.1387
4355.1632,11.6397,7.9842,3.7516,50.4183
3138.3229,5.9,0.9436,1.5322,22.9984
3153.8583,6.7044,5.3852,2.2406,35.1017
3411.535,4.2848,3.0145,1.3287,16.8443
3442.5883,6.171,0.9749,1.5894,24.3996
3419.1708,4.3197,1.3382,2.2818,30.3101
4359.5512,14.1632,7.7923,5.1036,51.7174
4353.2821,11.2485,8.0018,3.7513,50.181
3042.2742,3.6838,0.3643,1.5007,16.3857
3704.0565,4.4805,1.3798,2.2983,27.4687
3417.6304,4.1814,3.0087,1.4002,16.5528
4227.4124,12.0931,5.6619,4.5277,48.4138
3473.701,6.2832,0.9739,1.5894,23.6645
3397.5812,5.1889,1.1854,2.0634,26.7087
3717.9978,5.1051,3.8974,2.0674,25.1348
3270.868,6.0645,3.1381,1.2622,21.205
4376.3643,13.439,7.8266,5.2066,52.3633
3539.5786,16.1367,5.5924,2.3511,36.1788
3662.9636,4.5795,1.4362,2.2354,27.4686
4319.4874,13.2811,7.846,5.1459,49.758
3403.4546,4.301,3.0298,1.5174,16.8014
4291.8588,10.9956,5.5693,3.5069,43.6691
4280.6714,9.3317,5.2406,2.4573,44.093
3311.8759,3.9444,3.0382,1.5026,16.9822
3658.5288,6.1565,3.7335,1.9859,23.8408
3659.7945,6.2832,3.7514,1.921,23.1316
3699.9895,5.0066,3.9748,2.1012,25.1815
3440.1634,6.2498,1.1475,2.1248,24.8583
4231.8199,12.0347,5.6496,4.5277,45.7466
3225.33,5.4978,1.1721,2.0886,26.3615
3177.7797,6.8066,5.39,2.2284,35.1477
3001.5472,3.556,0.3486,1.4684,16.3916
3373.5952,4.8511,1.3938,2.2741,27.4216
3407.3864,6.2832,0.9742,1.5894,23.9015
3031.558,3.6353,0.363,1.503,16.6682
3406.8353,5.1771,1.1861,2.0569,26.6817
3381.3888,4.4633,3.0337,1.4559,17.7428
4376.7333,10.934,8.0404,3.7511,51.4222
3516.3982,6.4596,0.9844,1.5426,22.1686
3532.0844,16.1007,5.6683,2.3546,36.1914
4251.8529,10.219,5.8957,3.5805,49.6607
3387.8469,4.3993,3.0257,1.4888,17.2765
3358.7645,4.8514,1.3939,2.2741,29.0934
3735.8608,5.4695,3.9503,2.16,25.9609
3659.7602,6.2832,3.7458,1.904,22.9454
3725.457,5.1051,3.9282,2.0213,25.3509
3041.379,3.5926,0.3538,1.4879,16.2854
3455.7013,6.6386,0.9992,1.5811,21.2591
4316.59,14.0992,7.8272,5.1036,50.4394
3395.9637,6.2519,3.1381,1.2874,19.3014
4296.6694,10.9956,5.5933,3.5156,44.7005
3262.5346,5.4978,1.1912,2.1157,25.034
4256.784,10.4789,5.9226,3.4816,50.2804
4361.8073,11.551,7.8002,3.752,50.3658
3656.1482,6.0801,3.731,1.9961,23.1163
3369.7357,4.5156,3.0326,1.495,17.7824
3241.2466,6.2814,1.1606,2.1469,24.9547
3328.2934,6.8362,3.1381,1.3014,20.5512
3376.2537,4.5275,3.0372,1.5119,17.7756
3387.063,4.6562,3.0209,1.372,17.3441
3426.0232,4.3127,3.0193,1.3943,16.784
3257.6139,6.5724,0.9421,1.6143,21.9587
4199.5294,12.9591,5.6518,4.5374,48.6745
4222.0158,9.3917,5.8592,3.5166,44.901
4246.9598,9.4456,5.8934,3.4431,50.7695
3370.0016,4.373,3.0348,1.5597,17.4852
3598.8873,3.959,1.4366,2.229,27.4303
3175.4084,6.273,5.3612,2.2391,35.6083
3001.933,3.7648,0.342,1.4804,16.6086
3151.5201,6.2821,5.3842,2.222,35.7003
3083.5745,6.661,0.9504,1.6064,22.2287
3000.7277,3.6435,0.3613,1.5136,16.1165
4283.0539,8.6741,5.3164,2.4554,43.2402
3471.1974,5.3014,1.1388,2.1022,27.642
3302.7903,5.3739,1.1719,2.1175,25.6856
3150.8078,6.3956,5.4202,2.2414,35.2137
3403.3629,5.8543,1.1786,2.0963,24.7781
4217.2248,12.735,5.6552,4.5413,48.4434
3699.9385,4.9697,3.9952,2.0995,26.3527
3453.524,5.5303,1.1734,2.0683,24.8015
3418.2882,4.0251,3.0105,1.3346,16.8485
3450.9641,4.5142,1.3652,2.2246,27.4456
3223.5122,5.4978,1.1734,2.0703,26.8093
3152.9773,6.2332,5.4135,2.2257,35.6044
3461.282,5.3014,1.1748,2.1592,27.8915
3535.951,16.1007,5.6697,2.3572,36.1313
3041.3881,3.6725,0.3538,1.4879,16.8167
3240.2919,6.7867,3.1381,1.2147,21.2655
3646.3521,4.0921,1.4388,2.2644,27.4158
4297.5561,10.9956,5.6088,3.4991,42.5816
4205.8768,12.2256,5.6592,4.533,48.6791
3471.8241,5.8905,1.1839,2.087,24.9624
4311.1743,12.9271,7.833,5.1036,49.8722
3207.0435,5.9154,0.9755,1.6339,23.0819
3196.1812,5.8905,0.9679,1.5806,24.8212
3348.5972,4.6313,3.0259,1.541,16.9334
3311.1785,6.4041,0.9672,1.594,22.3508
3327.3121,5.4978,1.1892,2.0801,26.1564
4389.8248,13.8144,7.8076,5.2442,51.0403
3307.4836,5.4978,1.1847,2.0724,25.8569
4291.2518,10.9956,5.6481,3.5069,44.0321
3227.721,6.2352,3.1381,1.2188,20.6664
3660.8527,6.2832,3.7522,1.867,23.2725
4281.5988,9.4285,5.8843,3.5861,51.2833
3528.9334,16.0776,5.7309,2.3511,35.8548
3259.3468,6.6112,0.9532,1.6228,22.1137
3561.6251,4.4077,1.3968,2.299,27.3846
4224.8888,10.1134,5.9112,3.5139,47.2472
3149.3377,6.421,5.4255,2.2414,35.0851
4379.4428,10.9487,8.0071,3.7511,50.5547
3360.6261,6.2832,0.9749,1.5894,23.1502
3400.1229,6.1222,3.1381,1.224,19.3694
3533.3246,16.1007,5.581,2.3452,35.8862
3552.0488,4.3197,1.4007,2.257,29.2655
3559.0147,4.3197,1.4039,2.204,29.3958
4303.8328,10.9956,5.6131,3.4959,42.4652
3735.0486,5.1051,3.9914,2.0246,26.1892
3042.1168,3.5831,0.3538,1.4879,16.6559
3425.0225,4.6855,3.0127,1.5282,17.4114
3535.3389,16.1007,5.7179,2.3481,36.1279
3361.7101,5.6216,1.1836,2.0685,24.872
3462.0677,6.46,0.9912,1.5485,21.9023
4309.7471,10.9956,5.5456,3.5051,42.4736
4345.9447,11.2702,8.0221,3.7514,50.4444
3456.5257,5.503,1.1774,2.0681,24.8673
3425.7306,3.9394,3.0226,1.3421,16.8077
3379.0221,5.185,1.1877,2.0604,26.5083
3207.385,6.6098,3.1381,1.2056,20.0532
3153.4274,6.347,5.3938,2.2414,35.2393
3380.585,4.5006,3.0367,1.5453,17.5334
3372.3206,5.1393,1.1719,2.1175,24.9339
3404.6036,4.3379,3.0113,1.3941,17.7203
4348.9458,11.2991,7.826,3.7512,51.8456
3419.3502,4.4591,1.3764,2.3057,27.3886
3041.3757,3.5783,0.3537,1.4879,16.7834
3322.5215,4.3152,3.0268,1.4787,16.5492
3658.3966,5.8905,3.7528,1.9563,23.5545
3202.5467,5.3823,1.1906,2.1562,27.8217
3661.951,6.2832,3.727,1.9498,23.9012
3399.7571,4.4404,3.0248,1.4382,17.4483
3439.5929,4.0795,1.3973,2.2656,29.2797
4295.873,10.9956,5.6349,3.4961,42.6909
3397.5395,3.9381,3.0268,1.5254,17.5412
3244.0571,5.8905,0.9694,1.5902,24.4111
2947.818,3.7482,0.3506,1.4664,16.371
3389.9631,6.0244,0.9604,1.5475,22.8751
3662.9649,5.8905,3.7484,1.9965,23.9269
3398.5763,4.7239,1.394,2.2741,28.9146
3423.0769,4.4309,3.0381,1.4143,17.5682
3380.9036,5.2802,1.1839,2.0669,26.5907
3698.4734,5.0396,3.9965,2.1246,25.2555
4232.3863,8.6208,5.3304,2.4512,40.9832
4306.8319,10.9956,5.5632,3.503,42.5392
3475.3725,5.8905,1.1486,2.1051,24.9624
3196.9111,5.8905,0.9524,1.6288,24.8763
3449.4566,4.8944,1.3936,2.2741,28.8604
3241.2105,5.5374,1.1716,2.1175,26.4738
4190.1164,12.9591,5.6547,4.5367,48.685
4297.443,10.9956,5.5037,3.5071,45.0483
3234.1394,5.4661,1.1718,2.1175,24.8466
4327.6517,14.1004,7.8513,4.8914,54.9841
3606.3361,4.3197,1.4262,2.2124,29.3368
3730.5706,5.2584,4.0191,2.1129,26.0833
3747.5273,4.3965,1.4118,2.2153,27.4605
4227.5625,11.9901,5.6642,4.5277,46.4212
3533.4527,16.1007,5.7881,2.3581,36.1575
3467.456,5.6358,0.9768,1.5749,21.8965
3000.8753,3.6576,0.3594,1.5054,16.104
4309.6223,9.185,5.3278,2.459,45.2186
4184.8587,12.821,5.6667,4.5154,47.7395
3339.8086,7.0362,3.1381,1.2718,20.8601
2998.0286,3.64,0.3632,1.5175,16.1548
2978.5041,3.5736,0.3653,1.4799,16.1297
3142.2823,6.0782,0.9571,1.6005,22.8625
3529.6983,16.1007,5.7005,2.3495,36.0136
3506.7152,6.2832,0.9745,1.5894,23.4941
2979.1042,3.594,0.3626,1.4722,16.0742
3394.0753,4.0689,3.0371,1.4846,16.6648
2951.6879,3.5539,0.3645,1.5069,16.0876
4296.5846,8.9498,5.2909,2.4554,44.3581
4239.7703,12.1697,5.6651,4.5277,47.8967
3390.9522,4.6487,3.0101,1.5585,16.9992
3396.9749,4.7585,1.3942,2.2741,28.2891
3546.1831,4.3197,1.4051,2.2412,29.1896
3222.3449,6.9833,3.1381,1.2228,20.5362
4291.255,10.9956,5.5751,3.5069,43.1999
3659.1813,5.9381,3.728,1.9832,23.782
3156.8582,6.9439,5.3424,2.2429,35.6793
3026.8155,3.7639,0.3646,1.5115,16.6022
3698.291,5.0857,3.9746,2.1238,25.4792
4245.4807,10.3724,5.9226,3.4816,50.8055
3211.196,6.2772,3.1381,1.2243,20.8581
4347.9892,13.9961,7.788,5.2296,55.4979
3200.13,7.0442,3.1381,1.2673,19.9891
3505.3174,5.3014,1.1573,2.1373,26.7279
3529.1907,16.1214,5.7553,2.3511,35.8271
3327.026,6.9742,3.1381,1.279,20.2174
3300.3558,4.0471,1.4009,2.2602,28.1755
4208.4536,12.7765,5.6665,4.5311,48.3153
3575.4661,3.9284,1.4235,2.2479,27.4675
3662.6975,6.2832,3.7455,1.9147,23.4252
4373.2943,11.4724,7.6197,3.7513,51.5933
4331.356,14.3261,7.8015,5.1036,50.6725
3461.7642,4.3657,1.3928,2.2741,29.2775
3303.0516,6.5131,3.1381,1.2763,21.2832
4277.0193,9.7713,5.966,3.5428,47.6923
3698.0047,4.753,3.9996,2.0896,25.3109
4321.0598,14.0289,7.7488,5.269,55.7092
3373.156,6.5898,3.1381,1.2838,19.9624
3663.8064,4.621,1.3471,2.3332,27.4004
4228.7187,9.2079,5.2948,2.4532,43.5619
3158.4204,6.2165,5.3967,2.2236,35.6434
3384.692,6.5098,0.9949,1.5456,21.3177
3522.3285,6.1695,1.0056,1.5597,21.3364
4286.1358,10.9956,5.4484,3.4951,45.1643
4357.4486,12.6647,7.7866,5.1528,50.118
3662.176,6.2832,3.7446,1.9103,23.3265
3041.9767,3.6049,0.3537,1.4879,16.3047
3733.745,5.4901,4.0289,2.1667,26.0656
3511.7705,4.3197,1.3934,2.2264,30.3322
3318.0849,6.1531,0.9434,1.6256,22.9247
3043.4341,3.7566,0.3539,1.4879,16.8217
3464.5184,5.3014,1.1386,2.0975,27.1304
3708.8893,5.1051,3.9254,2.0502,25.5706
4184.6836,12.686,5.665,4.5184,48.778
4239.4188,9.038,5.3028,2.4484,42.8078
4356.6274,11.6589,7.9066,3.7505,50.3042
3458.3581,5.839,0.9805,1.5533,21.9013
3238.0274,5.8905,0.9737,1.626,24.598
4236.1217,8.8445,5.304,2.4538,44.2158
3504.1557,6.2182,1.0053,1.5471,21.856
4349.7688,11.045,8.0468,3.7511,52.6919
3001.1574,3.7419,0.3428,1.4807,16.4975
3658.584,5.8905,3.7346,1.8828,24.0867
4232.8824,12.0742,5.6503,4.5277,48.3399
3187.7828,7.0981,5.3285,2.2514,34.9722
4248.8905,10.5242,5.9226,3.4816,50.3509
4261.4222,10.4291,5.9226,3.4816,50.2057
4193.6754,12.9591,5.6664,4.53,48.894
3150.2622,6.2374,5.4043,2.2243,35.7364
4358.0191,11.3932,7.9407,3.7517,51.5096
3415.224,5.1901,1.1738,2.0788,26.7141
3704.821,4.7124,3.9528,2.0629,26.4173
3234.657,6.9615,3.1381,1.2642,19.9936
3373.6118,4.002,3.0296,1.523,17.2455
3188.7919,5.8905,0.9985,1.544,23.1859
3177.9118,7.1104,5.3014,2.2563,34.9586
3520.2839,6.0528,0.9893,1.5321,22.2984
3658.3307,5.8905,3.7268,1.9789,23.8468
4312.6556,9.2756,5.2964,2.454,44.9273
3672.9205,4.5082,1.3426,2.3254,27.4625
3419.6426,6.2217,1.1394,2.0612,24.8991
3530.5117,4.1064,1.3998,2.232,27.3379
3538.1912,4.5186,1.364,2.325,27.4215
3157.1576,6.9834,5.3918,2.2414,35.1843
3658.7958,6.0305,3.7298,1.9316,23.7118
4319.8913,14.0173,7.8324,5.254,55.3203
3334.3115,4.574,3.0255,1.357,17.6356
4240.5714,12.1319,5.6673,4.5277,46.3405
3239.1618,6.2497,3.1381,1.3075,19.966
3656.2066,6.2445,3.7402,1.9835,23.8559
3733.9123,5.1051,3.914,2.1432,25.9918
4373.2852,10.9286,7.7903,3.7511,51.7919
3392.7946,4.5186,3.0281,1.4281,17.6885
3538.5528,16.0711,5.6812,2.3523,36.006
4273.4211,9.3472,5.3282,2.4552,43.859
3236.8668,6.8734,3.1381,1.2997,19.9489
3423.1449,4.3887,3.0312,1.4749,17.2844
3211.3852,6.8684,3.1381,1.3036,19.8766
4251.5809,10.597,5.9226,3.4816,50.8935
4293.7657,10.9956,5.5838,3.5024,42.6699
3659.1627,6.137,3.7302,1.9596,23.9533
3531.5124,16.0755,5.7624,2.3511,36.0277
3287.596,4.3197,1.3934,2.2825,30.533
3539.5012,16.0782,5.6184,2.3525,35.9904
3759.6437,4.7124,3.88,2.1649,26.4354
4338.9043,13.2434,7.8115,5.1036,54.19
3161.2465,6.2654,5.3484,2.2244,35.1446
3065.7672,6.1055,0.9543,1.5845,22.9971
4237.8249,10.4472,5.9226,3.4816,49.8422
4302.3757,10.9956,5.5597,3.5082,43.6666
3482.7565,6.2832,0.974,1.5894,24.9063
3656.3511,6.1068,3.7427,1.9921,23.4785
3233.7733,5.9283,1.0066,1.5592,21.2797
3662.3536,6.2832,3.7562,1.9063,22.843
4311.107,13.2822,7.8371,5.1097,49.9617
4336.1553,14.08,7.8057,5.2326,53.72
4184.7509,12.6557,5.6607,4.519,48.9884
4236.7593,10.3757,5.9226,3.4816,50.2488
4258.4678,9.8678,5.8713,3.543,49.7141
4260.3659,9.3961,5.8664,3.5596,46.9914
3092.971,5.8905,1.0012,1.5384,23.9126
4292.0309,10.9956,5.5515,3.5068,42.4911
4386.6499,11.4925,7.5497,3.7503,51.1643
3527.0903,16.0647,5.7203,2.3511,36.4062
3426.5781,5.1701,1.1792,2.1121,26.716
2999.7452,3.675,0.359,1.5145,16.1043
3227.3153,5.3145,1.1718,2.1175,26.8025
4369.4687,11.4949,7.8104,3.7504,50.4684
3357.5146,4.0363,1.3981,2.2671,29.0894
3143.8871,7.1313,5.3588,2.2611,34.8221
4351.4767,11.6898,7.8269,3.7514,50.1519
3345.8588,6.2056,1.1856,2.0974,24.9353
3574.6096,3.9863,1.4422,2.207,27.398
3191.097,5.302,1.1717,2.1175,25.6457
3445.4839,6.2832,0.9744,1.5894,23.9528
3314.8579,5.4978,1.1855,2.0955,27.0235
3534.1491,16.1007,5.6107,2.3557,35.9114
4236.1299,9.2328,5.3036,2.465,44.8545
4284.4153,10.9956,5.5233,3.5132,45.0684
3733.8289,5.6781,3.9696,2.1387,26.1228
3698.7484,5.1051,3.9046,2.0115,25.5356
3426.8102,4.8473,1.3935,2.2741,27.3007
3514.5226,6.1176,0.9995,1.534,22.5509
3658.9937,6.274,3.7407,1.9501,23.2872
3738.4359,5.1051,4.0103,2.1086,26.3548
2997.6535,3.5499,0.3642,1.4806,16.0864
4242.9874,8.6341,5.2967,2.4555,44.0268
4305.8248,8.865,5.3266,2.4554,44.9105
3347.4748,5.3115,1.1719,2.1175,26.5538
2986.2886,3.6657,0.3414,1.4622,17.2649
3422.3492,4.1377,3.0184,1.4007,16.6143
3451.7973,5.8905,1.1834,2.0743,24.9624
4333.1819,13.1234,7.8288,5.1092,49.9036
2967.0599,3.7338,0.3403,1.4603,16.2415
4184.8699,12.6677,5.676,4.5167,48.5684
3659.8076,6.2832,3.7442,1.8944,22.7773
3728.0004,4.7124,4.0148,1.9918,26.0634
3570.0543,4.0019,1.4217,2.2172,27.4198
3586.0066,4.1452,1.4045,2.2138,27.3876
