UPV (m/s),ER (ohm-cm),FS (MPa),TS (MPa),CS (MPa)
2963.0227,3.5384,0.3634,1.4798,16.0893
2992.3991,3.5733,0.3615,1.5118,16.0998
2968.8019,3.5936,0.3608,1.4705,16.0811
3007.3149,3.6048,0.3615,1.4702,16.0853
2980.3472,3.541,0.3622,1.4805,16.0729
2963.5477,3.5742,0.3642,1.4902,16.0738
2954.3048,3.5356,0.3603,1.502,16.1103
2997.6535,3.5499,0.3642,1.4806,16.0864
3005.3916,3.5637,0.3616,1.503,16.1192
3028.4732,3.7455,0.3557,1.5016,16.0869
3026.018,3.7297,0.3595,1.5174,16.5614
3034.0711,3.792,0.3605,1.5136,16.3991
3042.2742,3.6838,0.3643,1.5007,16.3857
3031.558,3.6353,0.363,1.503,16.6682
3013.2871,3.7719,0.3613,1.488,16.4721
3036.6262,3.7575,0.3543,1.4886,16.4773
3030.8768,3.7687,0.3598,1.4952,16.6381
3026.8155,3.7639,0.3646,1.5115,16.6022
3019.484,3.7925,0.3549,1.496,16.4501
3027.1016,3.6721,0.3605,1.4982,16.1883
3035.7858,3.6578,0.3551,1.4996,16.2262
3022.9245,3.6474,0.3626,1.4924,16.6561
3040.6033,3.6168,0.3566,1.5018,16.0857
3032.6514,3.6614,0.3654,1.4909,16.3924
3028.627,3.6614,0.3635,1.5182,16.1783
3030.4086,3.7802,0.3566,1.5007,16.7174
3030.7773,3.7012,0.3576,1.5101,16.5405
3032.245,3.7952,0.355,1.4958,16.3994
3016.0836,3.6179,0.3587,1.5121,16.3799
3042.8678,3.5634,0.3539,1.4879,16.739
3041.3881,3.6725,0.3538,1.4879,16.8167
3043.1102,3.7549,0.3538,1.4879,16.7368
3042.7765,3.6255,0.3538,1.4879,16.7404
3041.5817,3.7038,0.3538,1.4879,16.7967
3042.2199,3.769,0.3538,1.4879,16.7436
3042.6673,3.7025,0.3539,1.4879,16.8337
3041.2472,3.6223,0.3539,1.4879,16.8336
3043.4341,3.7566,0.3539,1.4879,16.8217
3041.5929,3.6048,0.3539,1.4879,16.7502
3042.9575,3.6658,0.3539,1.4879,16.8139
3041.3631,3.6728,0.3538,1.4879,16.7963
3042.7254,3.6462,0.3539,1.4879,16.853
3041.2112,3.628,0.3538,1.4879,16.8126
3042.6365,3.7259,0.3539,1.4879,16.8315
3041.207,3.6661,0.3539,1.4879,16.7882
3042.6378,3.5705,0.3539,1.4879,16.7855
3043.055,3.6144,0.3539,1.4879,16.8346
3042.0352,3.6605,0.3538,1.4879,16.7419
3043.0144,3.5972,0.3539,1.4879,16.7482
3041.8137,3.542,0.3537,1.4879,16.7373
3041.626,3.5709,0.3538,1.4879,16.5879
3041.379,3.5926,0.3538,1.4879,16.2854
3041.9767,3.6049,0.3537,1.4879,16.3047
3042.6319,3.5422,0.3537,1.4879,16.8149
3043.0084,3.5581,0.3537,1.4879,16.5822
3042.2499,3.5442,0.3537,1.4879,16.4946
3041.1356,3.5735,0.3537,1.4879,16.5702
3043.2933,3.5941,0.3537,1.4879,16.4053
3041.9701,3.5867,0.3537,1.4879,16.4251
3042.1168,3.5831,0.3538,1.4879,16.6559
3041.537,3.5492,0.3537,1.4879,16.56
3042.8453,3.5676,0.3538,1.4879,16.8458
3042.3911,3.6093,0.3538,1.4879,16.1806
3043.0199,3.5449,0.3537,1.4879,16.7416
3041.3757,3.5783,0.3537,1.4879,16.7834
3041.6905,3.538,0.3538,1.4879,16.6006
3042.3448,3.5497,0.3537,1.4879,16.7203
3042.02,3.5742,0.3537,1.4879,16.5201
3041.3403,3.5676,0.3537,1.4879,16.6232
3200.3284,5.8905,0.9753,1.6332,24.4377
3200.8462,5.8905,0.9464,1.5945,24.4553
3248.9193,5.8905,0.9713,1.5329,24.9428
3212.9842,5.8905,0.968,1.5527,24.5578
3196.1812,5.8905,0.9679,1.5806,24.8212
3217.0949,5.8905,0.9575,1.5528,24.7348
3251.0908,5.8905,0.9548,1.5908,24.6646
3208.29,5.8905,0.9452,1.5765,24.4427
3194.2884,5.8905,0.9573,1.5321,24.7377
3232.8626,5.8905,0.9466,1.5607,24.4201
3209.5242,5.8905,0.9517,1.5896,24.803
3226.821,5.8905,0.9547,1.5734,24.5785
3238.0274,5.8905,0.9737,1.626,24.598
3203.7825,5.8905,0.9482,1.5431,24.6695
3248.7658,5.8905,0.9643,1.622,24.5802
3219.2278,5.8905,0.9552,1.6159,24.5979
3197.0328,5.8905,0.9482,1.5721,24.8723
3217.3543,5.8905,0.9425,1.5866,24.9005
3244.0571,5.8905,0.9694,1.5902,24.4111
3196.9111,5.8905,0.9524,1.6288,24.8763
3242.2086,5.8905,0.9991,1.5331,24.3067
3190.3774,5.8905,0.9943,1.5439,22.6237
3163.7337,5.8905,0.9854,1.5372,21.6027
3168.412,5.8905,1.0012,1.5323,22.2799
3161.1376,5.8905,1.0035,1.5381,23.8042
3213.8373,5.8905,0.9943,1.5433,23.2359
3243.7646,5.8905,1.0012,1.5434,22.9436
3126.4975,5.8905,0.9932,1.5386,21.285
3092.971,5.8905,1.0012,1.5384,23.9126
3140.2009,5.8905,0.9775,1.5351,21.6866
3111.0384,5.8905,1.0022,1.5448,22.3576
3206.3951,5.8905,0.9798,1.5339,23.2125
3237.229,5.8905,0.9809,1.5336,23.8027
3172.4394,5.8905,0.9985,1.5361,23.047
3188.9708,5.8905,0.9825,1.5436,22.8758
3201.6312,5.8905,0.9988,1.5357,24.0265
3225.7392,5.8905,1.0028,1.5399,22.5336
3141.9646,5.8905,0.9827,1.5355,23.6904
3188.7919,5.8905,0.9985,1.544,23.1859
3191.3133,5.8905,0.995,1.54,22.5543
3361.9792,6.1016,0.9904,1.5523,21.258
3244.3271,6.3879,0.9762,1.5859,21.2628
3282.7574,6.4995,1.0009,1.5499,21.3036
3100.3051,6.3978,1.0004,1.5515,21.2597
3096.9454,6.3983,0.9857,1.5735,21.3295
3166.2655,6.1181,0.9832,1.5569,21.3493
3384.692,6.5098,0.9949,1.5456,21.3177
3432.3201,6.1188,0.9756,1.5829,21.2695
3394.1008,6.6448,1.0057,1.5588,21.2995
3072.1394,6.2212,0.9963,1.5853,21.24
3102.4342,6.2415,0.986,1.5654,21.3397
3522.3285,6.1695,1.0056,1.5597,21.3364
3443.3042,6.1075,1.0025,1.589,21.3287
3455.7013,6.6386,0.9992,1.5811,21.2591
3163.4296,6.1382,0.9793,1.5582,21.3008
3519.0825,6.0932,0.9776,1.5839,21.2294
3233.7733,5.9283,1.0066,1.5592,21.2797
3359.9091,6.1223,0.9989,1.5876,21.2656
3457.1515,5.9799,0.9873,1.5862,21.2467
3246.0324,6.4756,0.9753,1.5671,21.2489
3257.6139,6.5724,0.9421,1.6143,21.9587
3281.8636,6.3455,0.9542,1.6396,21.4867
3398.9283,6.3775,0.9432,1.6094,22.2109
3133.8884,6.5756,0.9624,1.6373,22.0276
3311.1785,6.4041,0.9672,1.594,22.3508
3339.849,6.6383,0.9559,1.6087,22.3564
3151.8738,6.3945,0.9561,1.6263,22.2683
3353.939,6.4231,0.9655,1.6271,21.3997
3491.6967,6.3285,0.9457,1.5982,21.4502
3408.8845,6.5318,0.9466,1.6077,21.8103
3259.3468,6.6112,0.9532,1.6228,22.1137
3476.0476,6.6055,0.9507,1.6211,22.2912
3257.646,6.5032,0.9659,1.626,21.9367
3459.719,6.5438,0.9708,1.6234,22.5289
3170.3829,6.5487,0.9698,1.5916,22.3829
3233.1384,6.6377,0.9525,1.6045,22.7423
3173.1893,6.4738,0.9636,1.614,22.1144
3444.7432,6.6583,0.9542,1.6068,21.8183
3435.4491,6.4738,0.9489,1.5932,21.5031
3083.5745,6.661,0.9504,1.6064,22.2287
3175.4305,6.1336,0.9671,1.6267,23.0304
3454.366,6.0538,0.9435,1.6245,22.9195
3338.7587,5.9157,0.9494,1.5993,22.8157
3085.0422,6.2765,0.9577,1.558,22.8705
3441.485,6.1604,0.9728,1.5466,22.8353
3389.9631,6.0244,0.9604,1.5475,22.8751
3318.0849,6.1531,0.9434,1.6256,22.9247
3057.9589,6.1497,0.9691,1.5467,22.9519
3422.5422,5.9746,0.9685,1.5758,22.9301
3494.6186,6.1937,0.9592,1.5762,23.0606
3410.958,6.2585,0.9423,1.5408,22.9491
3207.0435,5.9154,0.9755,1.6339,23.0819
3393.3917,6.2602,0.9499,1.5639,22.9864
3510.3544,6.2598,0.9729,1.5862,23.0863
3142.2823,6.0782,0.9571,1.6005,22.8625
3138.3229,5.9,0.9436,1.5322,22.9984
3260.3852,6.2646,0.9449,1.5368,22.8776
3065.7672,6.1055,0.9543,1.5845,22.9971
3201.3658,5.9721,0.9593,1.5676,23.0043
3203.2688,5.9555,0.9547,1.6397,22.8086
3518.8295,5.9977,0.9764,1.5385,22.7973
3517.4453,6.1331,0.9982,1.539,22.8337
3519.6358,6.421,0.9868,1.536,22.3073
3517.6237,6.1225,0.9963,1.5433,22.0979
3521.9804,6.2368,0.9815,1.5329,22.6909
3518.1134,6.0827,0.9953,1.539,22.1737
3520.2839,6.0528,0.9893,1.5321,22.2984
3515.3603,6.1021,0.997,1.5407,23.0915
3516.533,6.2622,0.9818,1.5391,22.3852
3520.1703,6.152,1.0034,1.5379,22.6407
3520.3217,6.2806,0.9812,1.5423,22.013
3522.138,6.1737,0.9793,1.5341,23.0981
3514.5226,6.1176,0.9995,1.534,22.5509
3521.0225,6.1112,1.0036,1.5427,22.5961
3519.1496,6.454,0.9839,1.5449,22.5528
3517.1654,5.9862,0.9945,1.5357,22.1859
3520.9971,6.1721,0.9786,1.5406,22.717
3516.3982,6.4596,0.9844,1.5426,22.1686
3514.784,6.4369,1.0021,1.5428,22.5404
3518.9649,5.8984,0.9972,1.536,23.0571
3462.0677,6.46,0.9912,1.5485,21.9023
3502.3892,6.0504,0.9954,1.5725,21.8682
3490.8692,6.4279,1,1.5512,21.8837
3476.8112,5.6387,0.9995,1.581,21.9038
3444.1636,5.672,0.9824,1.5884,21.892
3447.8641,6.0082,0.9942,1.585,21.8754
3458.3581,5.839,0.9805,1.5533,21.9013
3506.1198,6.2285,0.99,1.5859,21.8672
3478.4618,5.8159,1.0035,1.5512,21.8981
3504.1557,6.2182,1.0053,1.5471,21.856
3467.456,5.6358,0.9768,1.5749,21.8965
3453.0754,6.0507,0.9872,1.5508,21.8655
3481.9081,5.5968,0.9751,1.5549,21.9015
3483.8475,5.5798,0.9916,1.5743,21.8954
3513.9687,5.601,0.9754,1.5594,21.9076
3455.3213,5.9708,0.9885,1.5674,21.8773
3467.992,5.8655,0.9994,1.5688,21.8706
3516.3885,6.3724,1.0031,1.5655,21.8792
3505.5939,6.4656,1.0026,1.5681,21.8867
3463.7349,5.9952,0.9831,1.5705,21.8731
3454.3442,5.816,0.9749,1.5894,23.9937
3463.5852,6.2808,0.9749,1.5894,24.0976
3505.2857,6.2832,0.9749,1.5894,23.9546
3498.559,5.7309,0.9749,1.5894,24.9783
3477.3818,5.8973,0.9749,1.5894,22.5422
3447.2118,6.1614,0.9749,1.5894,24.1978
3476.1678,5.951,0.9749,1.5894,22.6325
3486.0564,5.9015,0.9749,1.5894,22.2459
3477.5107,5.5185,0.9749,1.5894,23.8604
3501.4896,5.5081,0.9749,1.5894,23.3403
3445.5497,6.027,0.9749,1.5894,23.3687
3463.7971,6.1686,0.9749,1.5894,24.0411
3442.5883,6.171,0.9749,1.5894,24.3996
3501.5825,6.0923,0.9749,1.5894,23.0097
3508.2284,5.6794,0.9749,1.5894,24.0414
3510.1825,5.9091,0.9749,1.5894,23.2279
3464.6728,5.9032,0.9749,1.5894,24.6367
3498.5593,5.9883,0.9749,1.5894,24.6069
3488.2609,5.8942,0.9749,1.5894,22.6994
3488.7772,5.7448,0.9749,1.5894,23.8807
3488.6485,6.2832,0.974,1.5894,23.8148
3345.3232,6.2832,0.9747,1.5894,23.9106
3360.6261,6.2832,0.9749,1.5894,23.1502
3469.4793,6.2832,0.9749,1.5894,24.5481
3486.6224,6.2832,0.9749,1.5894,24.425
3364.8113,6.2832,0.9742,1.5894,24.8843
3344.7604,6.2832,0.9744,1.5894,22.9888
3387.9679,6.2832,0.9739,1.5894,23.6685
3448.8325,6.2832,0.9745,1.5894,24.0522
3351.1902,6.2832,0.974,1.5894,23.6829
3407.3864,6.2832,0.9742,1.5894,23.9015
3473.701,6.2832,0.9739,1.5894,23.6645
3467.7339,6.2832,0.9744,1.5894,23.9034
3506.7152,6.2832,0.9745,1.5894,23.4941
3445.4839,6.2832,0.9744,1.5894,23.9528
3390.9764,6.2832,0.9744,1.5894,22.8643
3376.9723,6.2832,0.9744,1.5894,24.6546
3498.8762,6.2832,0.9739,1.5894,24.9153
3482.7565,6.2832,0.974,1.5894,24.9063
3353.3069,6.2832,0.9746,1.5894,25.0128
3421.4733,6.2282,1.1483,2.1482,24.894
3419.6426,6.2217,1.1394,2.0612,24.8991
3255.5187,5.9446,1.1756,2.1456,24.8896
3345.8588,6.2056,1.1856,2.0974,24.9353
3399.3783,5.9059,1.1909,2.072,24.9197
3382.2483,6.1402,1.1464,2.1622,24.9362
3241.2466,6.2814,1.1606,2.1469,24.9547
3311.0466,5.9472,1.1659,2.0742,24.9593
3430.411,5.9503,1.1435,2.1679,24.8696
3344.4392,6.0709,1.1815,2.0984,24.8635
3277.7637,6.0964,1.1757,2.1285,24.9275
3440.1634,6.2498,1.1475,2.1248,24.8583
3263.6054,6.1341,1.1655,2.1708,24.9079
3243.7978,6.0776,1.1691,2.1709,24.9085
3307.4762,5.9019,1.1793,2.1118,24.9465
3368.6031,6.1109,1.1575,2.1024,24.9033
3207.7252,5.9643,1.1424,2.0638,24.8928
3192.2811,5.9313,1.1926,2.1409,24.9247
3321.0217,5.9572,1.1861,2.0885,24.9327
3416.8604,6.0908,1.1634,2.1059,24.9073
3451.7973,5.8905,1.1834,2.0743,24.9624
3475.3725,5.8905,1.1486,2.1051,24.9624
3478.4539,5.8905,1.1467,2.104,24.9624
3451.2312,5.8905,1.1336,2.1363,24.9624
3459.5508,5.8905,1.1334,2.138,24.9624
3454.0211,5.8905,1.1646,2.1402,24.9624
3478.5079,5.8905,1.1801,2.0881,24.9624
3465.4483,5.8905,1.1506,2.1439,24.9624
3473.2027,5.8905,1.1507,2.1059,24.9624
3466.2145,5.8905,1.1322,2.1337,24.9624
3458.5764,5.8905,1.1533,2.1394,24.9624
3470.6197,5.8905,1.1818,2.1409,24.9624
3470.8762,5.8905,1.1312,2.1127,24.9624
3475.6647,5.8905,1.14,2.105,24.9624
3471.0301,5.8905,1.1797,2.1574,24.9624
3473.0285,5.8905,1.1305,2.1666,24.9624
3453.8724,5.8905,1.1578,2.0758,24.9624
3482.696,5.8905,1.1797,2.1485,24.9624
3471.8241,5.8905,1.1839,2.087,24.9624
3456.4786,5.8905,1.1602,2.091,24.9624
3457.7371,5.5564,1.1748,2.0641,24.7654
3363.4858,5.7156,1.1796,2.1077,24.8594
3393.9329,5.6104,1.1759,2.084,24.7496
3425.9739,5.5416,1.1842,2.0989,24.8687
3403.6611,5.6426,1.1879,2.0726,24.7781
3456.5257,5.503,1.1774,2.0681,24.8673
3366.0228,5.8222,1.1765,2.1112,24.7686
3452.4067,5.6438,1.1827,2.0932,24.7814
3361.7101,5.6216,1.1836,2.0685,24.872
3380.2789,5.8247,1.1889,2.0919,24.9107
3412.0863,5.832,1.1831,2.0622,24.773
3388.5402,5.8346,1.1833,2.0571,24.7349
3449.6158,5.8541,1.1848,2.0668,24.8839
3453.524,5.5303,1.1734,2.0683,24.8015
3474.6483,5.5554,1.178,2.0945,24.8573
3406.2344,5.7503,1.1822,2.0677,24.7626
3403.3629,5.8543,1.1786,2.0963,24.7781
3449.2975,5.76,1.1791,2.0958,24.9223
3435.3259,5.864,1.1722,2.073,24.7558
3409.392,5.8559,1.1761,2.0898,24.7251
3327.3121,5.4978,1.1892,2.0801,26.1564
3219.2234,5.4978,1.1931,2.0794,27.1871
3225.33,5.4978,1.1721,2.0886,26.3615
3207.8791,5.4978,1.1856,2.1157,25.154
3182.5772,5.4978,1.1953,2.0738,25.2797
3307.4836,5.4978,1.1847,2.0724,25.8569
3223.5122,5.4978,1.1734,2.0703,26.8093
3314.8579,5.4978,1.1855,2.0955,27.0235
3198.501,5.4978,1.1774,2.0972,26.9243
3297.4751,5.4978,1.1825,2.0985,25.6104
3238.7034,5.4978,1.1742,2.0773,26.2111
3263.7443,5.4978,1.1749,2.0955,24.9734
3262.5346,5.4978,1.1912,2.1157,25.034
3160.7859,5.4978,1.178,2.0913,25.1025
3081.0069,5.4978,1.1839,2.1015,26.6141
3321.5181,5.4978,1.1845,2.0982,26.1027
3076.9427,5.4978,1.1723,2.1145,25.2514
3135.2102,5.4978,1.193,2.0866,26.1022
3263.4193,5.4978,1.183,2.0957,25.1341
3333.8196,5.4978,1.1955,2.0603,24.8759
3306.1918,5.4528,1.1582,2.1196,27.943
3018.4985,5.409,1.1381,2.1597,27.7952
3048.1718,5.4571,1.18,2.1517,27.9832
3402.9954,5.4768,1.1882,2.0966,27.8645
3235.5068,5.4809,1.1859,2.0901,27.8065
3009.0556,5.3028,1.192,2.0914,27.925
3332.0616,5.4112,1.1827,2.1449,27.9574
3008.4401,5.4479,1.1385,2.17,28.0134
3401.4004,5.3546,1.1449,2.1323,27.5099
3308.164,5.422,1.1342,2.1558,27.9505
3202.5467,5.3823,1.1906,2.1562,27.8217
3055.5881,5.3451,1.1913,2.1229,28.0139
3307.0726,5.3581,1.1312,2.0886,27.7784
3419.2443,5.3118,1.1614,2.1025,27.7539
3037.9511,5.3486,1.1438,2.1214,27.9179
3376.3324,5.4635,1.1755,2.0653,27.6257
3093.2613,5.3995,1.1881,2.0978,27.7634
3344.8701,5.4393,1.1638,2.1503,27.9686
3321.303,5.3284,1.1685,2.1156,27.8024
3085.6066,5.3676,1.1353,2.0893,27.9402
3475.5912,5.3014,1.1393,2.1386,26.8902
3480.2003,5.3014,1.142,2.0754,27.1235
3471.1974,5.3014,1.1388,2.1022,27.642
3496.6293,5.3014,1.1873,2.1256,27.0006
3461.282,5.3014,1.1748,2.1592,27.8915
3489.2341,5.3014,1.1421,2.054,27.0624
3503.4425,5.3014,1.1698,2.1718,27.0089
3471.3399,5.3014,1.1429,2.1425,26.9038
3492.4924,5.3014,1.1568,2.0928,26.6577
3465.2862,5.3014,1.1863,2.0986,26.5178
3451.6831,5.3014,1.1647,2.1223,26.8437
3464.5184,5.3014,1.1386,2.0975,27.1304
3475.4734,5.3014,1.1676,2.1677,26.6003
3454.0626,5.3014,1.1408,2.1194,27.1325
3463.5203,5.3014,1.1347,2.1334,27.9931
3478.7985,5.3014,1.1426,2.0777,27.8344
3473.3118,5.3014,1.1614,2.0708,26.7006
3454.1913,5.3014,1.1698,2.0627,27.2789
3505.3174,5.3014,1.1573,2.1373,26.7279
3500.3415,5.3014,1.1427,2.0652,27.699
3440.4924,5.1126,1.1859,2.0597,26.6866
3415.224,5.1901,1.1738,2.0788,26.7141
3389.5929,5.13,1.1844,2.0969,26.5021
3397.5812,5.1889,1.1854,2.0634,26.7087
3404.9559,5.2079,1.1737,2.0578,26.6193
3379.0221,5.185,1.1877,2.0604,26.5083
3388.2346,5.1174,1.1779,2.0598,26.6644
3443.7338,5.299,1.184,2.0789,26.559
3435.7792,5.2463,1.184,2.1165,26.5344
3396.0433,5.2866,1.175,2.0899,26.5636
3447.5851,5.17,1.18,2.0716,26.5427
3396.3563,5.1781,1.1783,2.0963,26.5578
3399.0447,5.2831,1.1746,2.0932,26.5059
3426.5781,5.1701,1.1792,2.1121,26.716
3380.9036,5.2802,1.1839,2.0669,26.5907
3406.8353,5.1771,1.1861,2.0569,26.6817
3417.045,5.2677,1.1786,2.0985,26.7373
3392.3957,5.2409,1.1851,2.0638,26.6677
3418.3578,5.2347,1.1723,2.0965,26.6808
3432.9198,5.1348,1.187,2.058,26.6486
3331.4056,5.2352,1.1719,2.1175,26.591
3299.1866,5.5852,1.172,2.1175,25.8388
3294.4163,5.4411,1.1719,2.1175,25.0944
3348.4177,5.4513,1.1719,2.1175,25.0514
3376.5329,5.497,1.1719,2.1175,26.2905
3289.0825,5.2038,1.172,2.1175,26.4174
3302.7903,5.3739,1.1719,2.1175,25.6856
3368.0187,5.3171,1.1719,2.1175,25.531
3250.9152,5.1743,1.1719,2.1175,25.9893
3268.9472,5.2616,1.1719,2.1175,26.4225
3371.403,5.545,1.1719,2.1175,24.8995
3250.5035,5.4639,1.1719,2.1175,26.6769
3286.4636,5.3022,1.1719,2.1175,26.6284
3347.4748,5.3115,1.1719,2.1175,26.5538
3310.3831,5.385,1.1719,2.1175,26.5037
3251.5816,5.3198,1.1719,2.1175,25.5707
3248.9439,5.5346,1.1719,2.1175,25.6677
3275.544,5.3944,1.1719,2.1175,26.7385
3372.3206,5.1393,1.1719,2.1175,24.9339
3309.1919,5.6844,1.1719,2.1175,25.3496
3206.3558,5.6656,1.1717,2.1175,26.3717
3195.5437,5.5393,1.1717,2.1175,24.9283
3189.4533,5.4032,1.1717,2.1175,26.6341
3201.3213,5.4213,1.1717,2.1175,26.7924
3218.3893,5.6895,1.1718,2.1175,26.8994
3219.7654,5.4803,1.1719,2.1175,26.6309
3241.2105,5.5374,1.1716,2.1175,26.4738
3218.1412,5.5728,1.1716,2.1175,25.8913
3231.1332,5.5034,1.1717,2.1175,25.1727
3191.097,5.302,1.1717,2.1175,25.6457
3233.0785,5.3189,1.1717,2.1175,25.0793
3219.448,5.3737,1.1719,2.1175,24.8587
3227.3153,5.3145,1.1718,2.1175,26.8025
3243.6823,5.5609,1.1716,2.1175,25.4375
3205.9153,5.3474,1.1719,2.1175,25.4251
3229.4288,5.5476,1.1716,2.1175,25.5052
3200.6997,5.6216,1.1719,2.1175,25.7922
3242.4944,5.5946,1.1718,2.1175,26.1799
3234.1394,5.4661,1.1718,2.1175,24.8466
3209.3594,5.51,1.1718,2.1175,26.5951
3606.1075,4.6068,1.3404,2.2935,27.4028
3581.8153,4.6432,1.399,2.3336,27.44
3409.4983,4.6309,1.354,2.33,27.3762
3419.3502,4.4591,1.3764,2.3057,27.3886
